snapshot_date,month,universe_type,asset_class,asset_count,market_cap_usd,total_market_cap_usd,market_cap_share
2024-01-31,2024-01,full_top100,risk_assets,83,184897765461.8997,1626979265565.6047,0.11364481980513848
2024-01-31,2024-01,full_top100,stablecoins,6,132649939432.91637,1626979265565.6047,0.08153142590099438
2024-01-31,2024-01,full_top100,wrapped_assets,1,6747894320.153051,1626979265565.6047,0.004147498657770052
2024-02-29,2024-02,clean_risk_top100,base_assets,8,1826211777495.5146,2077368294159.0127,0.8790987051406912
2024-02-29,2024-02,clean_risk_top100,risk_assets,92,251156516663.49796,2077368294159.0127,0.12090129485930871
2024-02-29,2024-02,ex_stable_top100,base_assets,8,1826211777495.5146,2120577360666.1948,0.8611861143899966
2024-02-29,2024-02,ex_stable_top100,lst_restaking,3,37017353094.26619,2120577360666.1948,0.017456261573327803
2024-02-29,2024-02,ex_stable_top100,risk_assets,88,247586328606.20255,2120577360666.1948,0.11675420722610257
2024-02-29,2024-02,ex_stable_top100,wrapped_assets,1,9761901470.211344,2120577360666.1948,0.004603416810573028
2024-02-29,2024-02,full_top100,base_assets,8,1826211777495.5146,2252549479318.341,0.8107310379917412
2024-02-29,2024-02,full_top100,lst_restaking,3,37017353094.26619,2252549479318.341,0.016433536059535642
2024-02-29,2024-02,full_top100,risk_assets,83,242911822183.52637,2252549479318.341,0.10783861771464197
2024-02-29,2024-02,full_top100,stablecoins,5,136646625074.82248,2252549479318.341,0.06066309589619937
2024-02-29,2024-02,full_top100,wrapped_assets,1,9761901470.211344,2252549479318.341,0.0043337123378819
2024-03-31,2024-03,clean_risk_top100,base_assets,8,2057930989185.366,2391852345869.575,0.8603921528597495
2024-03-31,2024-03,clean_risk_top100,risk_assets,92,333921356684.209,2391852345869.575,0.1396078471402504
2024-03-31,2024-03,ex_stable_top100,base_assets,8,2057930989185.366,2437375413156.3066,0.8443225356574945
2024-03-31,2024-03,ex_stable_top100,lst_restaking,5,40424302795.15455,2437375413156.3066,0.016585177062571024
2024-03-31,2024-03,ex_stable_top100,risk_assets,85,326400837712.9362,2437375413156.3066,0.13391488071599927
2024-03-31,2024-03,ex_stable_top100,wrapped_assets,2,12619283462.849861,2437375413156.3066,0.005177406563935253
2024-03-31,2024-03,full_top100,base_assets,8,2057930989185.366,2577477006888.146,0.7984284568536107
