month,asset_class_final,market_cap_usd,share
2023-10-01,BTC,673508057017.6387,0.5337036757525411
2023-10-01,ETH,217544224998.03268,0.17238717682800814
2023-10-01,governance/infrastructure risk assets,2103671536.230297,0.0016669989612799847
2023-10-01,other risk assets,107913422742.70018,0.08551314239037916
2023-10-01,productized/wrapped assets,23593266848.32539,0.018695861331963336
2023-10-01,selected majors ex BTC/ETH,116976232895.60902,0.09269472699186557
2023-10-01,stable-like assets,120312441924.50465,0.09533841774396266
2023-11-01,BTC,740494537382.5989,0.526192248982974
2023-11-01,ETH,244001473817.2662,0.17338640297994543
2023-11-01,governance/infrastructure risk assets,2552793514.6151686,0.0018140041456517458
2023-11-01,other risk assets,133972817637.50003,0.09520051081597429
2023-11-01,productized/wrapped assets,26018209117.968956,0.01848842804254173
2023-11-01,selected majors ex BTC/ETH,135170646346.90178,0.09605168277022576
2023-11-01,stable-like assets,125059467367.30736,0.08886672226268699
2023-12-01,BTC,826609156660.5117,0.5085547148814404
2023-12-01,ETH,275712397143.1602,0.16962652589633065
2023-12-01,governance/infrastructure risk assets,2438736241.883404,0.0015003835901994645
2023-12-01,other risk assets,185451243358.76514,0.11409516024688728
2023-12-01,productized/wrapped assets,29930459790.936237,0.018414115452995608
2023-12-01,selected majors ex BTC/ETH,177829572153.8187,0.10940607980866572
2023-12-01,stable-like assets,127436935392.52011,0.07840302012348083
2024-01-01,BTC,839294111912.5715,0.5158603613923736
2024-01-01,ETH,281132447253.58405,0.17279411803435052
2024-01-01,governance/infrastructure risk assets,2685906176.732265,0.001650854582832396
2024-01-01,other risk assets,175386149932.2651,0.10779863864540011
2024-01-01,productized/wrapped assets,30246432932.346127,0.018590546033683607
2024-01-01,selected majors ex BTC/ETH,165584277925.18945,0.10177405541036538
2024-01-01,stable-like assets,132649939432.91637,0.08153142590099437
2024-02-01,BTC,1225273849241.6978,0.5439498046508999
2024-02-01,ETH,404949329424.75433,0.17977377773175432
2024-02-01,governance/infrastructure risk assets,3058990895.838725,0.00135801274241684
2024-02-01,other risk assets,228354014912.6475,0.10137580417623113
2024-02-01,productized/wrapped assets,46779254564.47753,0.020767248397417542
2024-02-01,selected majors ex BTC/ETH,207487415204.1026,0.09211225640508094
2024-02-01,stable-like assets,136646625074.82248,0.06066309589619937
2024-03-01,BTC,1370247487960.0945,0.5316235544674865
2024-03-01,ETH,420903294887.9552,0.1633005042384927
2024-03-01,governance/infrastructure risk assets,2478200378.656164,0.0009614830208119525
2024-03-01,other risk assets,291377858551.0115,0.11304770431407239
2024-03-01,productized/wrapped assets,53043586258.00441,0.020579654490126872
2024-03-01,selected majors ex BTC/ETH,293428041764.8029,0.11384312681767281
2024-03-01,stable-like assets,145998537087.6215,0.05664397265133677
2024-04-01,BTC,1257159131219.0603,0.5402081326163968
2024-04-01,ETH,392350038771.6116,0.16859495072135836
2024-04-01,governance/infrastructure risk assets,1956523011.3748813,0.0008407286047955877
2024-04-01,other risk assets,222369135834.06177,0.0955532300067337
2024-04-01,productized/wrapped assets,50446613312.3098,0.021677184771221873
2024-04-01,selected majors ex BTC/ETH,247151950994.29086,0.10620254079502073
2024-04-01,stable-like assets,155742107030.2444,0.06692323248447303
2024-05-01,BTC,1346147846430.124,0.5346866018500739
2024-05-01,ETH,450215609802.7726,0.17882452892799602
