date,asset,window_days,feature_id,feature_label,beta,n
2025-03-03,BTC,180,real_yield_d1,Real-yield change,0.15247190860628806,179
2025-03-03,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,-0.032582809602155975,179
2025-03-03,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.05394661501358123,179
2025-03-03,BTC,180,btc_oi_growth,BTC OI growth,-0.0034835308143944064,179
2025-03-17,BTC,180,qqq_ret,QQQ return,-0.1015317211371661,179
2025-03-17,BTC,180,spy_ret,SPY return,0.016943160023147073,179
2025-03-17,BTC,180,vix_d1,VIX change,-0.1394245562139,179
2025-03-17,BTC,180,dxy_ret,DXY return,-0.01091445064119544,179
2025-03-17,BTC,180,real_yield_d1,Real-yield change,0.06830517282064516,179
2025-03-17,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,0.014632005311402425,179
2025-03-17,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.06906894523499489,179
2025-03-17,BTC,180,btc_oi_growth,BTC OI growth,-0.07348049127992466,179
2025-03-31,BTC,180,qqq_ret,QQQ return,-0.13757089344947027,179
2025-03-31,BTC,180,spy_ret,SPY return,0.03122605496928472,179
2025-03-31,BTC,180,vix_d1,VIX change,-0.1596463965942986,179
2025-03-31,BTC,180,dxy_ret,DXY return,0.03678401623796312,179
2025-03-31,BTC,180,real_yield_d1,Real-yield change,0.05845695131168602,179
2025-03-31,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,0.01916957265234354,179
2025-03-31,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.08135448320550362,179
2025-03-31,BTC,180,btc_oi_growth,BTC OI growth,-0.0995157668692905,179
2025-04-14,BTC,180,qqq_ret,QQQ return,-0.1257516069165232,179
2025-04-14,BTC,180,spy_ret,SPY return,-0.0618583254146985,179
2025-04-14,BTC,180,vix_d1,VIX change,-0.1173745228892549,179
2025-04-14,BTC,180,dxy_ret,DXY return,0.02915363773659372,179
2025-04-14,BTC,180,real_yield_d1,Real-yield change,0.08928811362830105,179
2025-04-14,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,-0.00895821660045591,179
2025-04-14,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.11065878200223479,179
2025-04-14,BTC,180,btc_oi_growth,BTC OI growth,-0.05086016826932613,179
2025-04-28,BTC,180,qqq_ret,QQQ return,0.03358374522105761,179
2025-04-28,BTC,180,spy_ret,SPY return,-0.1844675634290129,179
2025-04-28,BTC,180,vix_d1,VIX change,-0.07653095103457744,179
2025-04-28,BTC,180,dxy_ret,DXY return,0.06701180889330252,179
2025-04-28,BTC,180,real_yield_d1,Real-yield change,0.08393806593225805,179
2025-04-28,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,-0.02310470055848861,179
2025-04-28,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.11093385890625111,179
2025-04-28,BTC,180,btc_oi_growth,BTC OI growth,-0.04216146301585168,179
2025-05-12,BTC,180,qqq_ret,QQQ return,-0.053629357191507736,179
2025-05-12,BTC,180,spy_ret,SPY return,-0.23009364786511555,179
2025-05-12,BTC,180,vix_d1,VIX change,-0.17376547611865936,179
2025-05-12,BTC,180,dxy_ret,DXY return,0.05902046899765842,179
2025-05-12,BTC,180,real_yield_d1,Real-yield change,0.09424948892889781,179
2025-05-12,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,0.07000247799307421,179
2025-05-12,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.03256390526210433,179
2025-05-12,BTC,180,btc_oi_growth,BTC OI growth,-0.08245911172395286,179
2025-05-26,BTC,180,qqq_ret,QQQ return,-0.1386770020029712,179
2025-05-26,BTC,180,spy_ret,SPY return,-0.14798203486452008,179
2025-05-26,BTC,180,vix_d1,VIX change,-0.18006977168437316,179
2025-05-26,BTC,180,dxy_ret,DXY return,0.038752260895627486,179
2025-05-26,BTC,180,real_yield_d1,Real-yield change,0.11323858002161744,179
2025-05-26,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,0.054985547449940206,179
2025-05-26,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.04440398324774851,179
2025-05-26,BTC,180,btc_oi_growth,BTC OI growth,-0.10761152544218178,179
2025-06-09,BTC,180,qqq_ret,QQQ return,-0.18140937274281502,179
2025-06-09,BTC,180,spy_ret,SPY return,-0.04871095946345199,179
2025-06-09,BTC,180,vix_d1,VIX change,-0.1260000045379737,179
2025-06-09,BTC,180,dxy_ret,DXY return,0.05593577313440619,179
2025-06-09,BTC,180,real_yield_d1,Real-yield change,0.12711854215979573,179
2025-06-09,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,0.005438138428719852,179
2025-06-09,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.04540577131084948,179
2025-06-09,BTC,180,btc_oi_growth,BTC OI growth,-0.0816040833371574,179
2025-06-23,BTC,180,qqq_ret,QQQ return,-0.33376388627108966,179
2025-06-23,BTC,180,spy_ret,SPY return,0.23094480937571144,179
2025-06-23,BTC,180,vix_d1,VIX change,0.04460882985352314,179
2025-06-23,BTC,180,dxy_ret,DXY return,0.08578407776301626,179
2025-06-23,BTC,180,real_yield_d1,Real-yield change,0.16352237256450367,179
2025-06-23,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,0.029077611729703284,179
2025-06-23,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.04651371434889677,179
2025-06-23,BTC,180,btc_oi_growth,BTC OI growth,-0.11817874600282943,179
2025-07-07,BTC,180,qqq_ret,QQQ return,-0.42833311552445796,179
2025-07-07,BTC,180,spy_ret,SPY return,0.30467152659657337,179
2025-07-07,BTC,180,vix_d1,VIX change,0.031776477281965004,179
2025-07-07,BTC,180,dxy_ret,DXY return,0.09843433694371431,179
2025-07-07,BTC,180,real_yield_d1,Real-yield change,0.19015023848052062,179
2025-07-07,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,0.09179690708963527,179
2025-07-07,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.016398776867158862,179
