date,asset,window_days,feature_id,feature_label,beta,correlation,sample_count,n,timing
2021-01-11,BTC,180,qqq_ret,QQQ return,0.6765800983557992,0.27964227771458894,180,180,contemporaneous
2021-01-11,BTC,180,spy_ret,SPY return,0.9694444327642106,0.2720199888914448,180,180,contemporaneous
2021-01-11,BTC,180,dxy_ret,DXY return,-0.9538199530101213,-0.08864730090327541,180,180,contemporaneous
2021-01-11,BTC,180,gold_ret,Gold return,0.6552679516232492,0.21519565334225227,180,180,contemporaneous
2021-01-11,BTC,180,vix_d1,VIX change,-0.0076564470482568155,-0.34809050810053427,180,180,contemporaneous
2021-01-11,BTC,180,real_yield_d1,Real-yield change,-0.10747109274971475,-0.07080497900715337,180,180,contemporaneous
2021-01-11,BTC,180,nominal_10y_d1,10Y yield change,0.0871336349790898,0.07775387098187116,180,180,contemporaneous
2021-01-25,BTC,180,qqq_ret,QQQ return,0.662298788264841,0.24185120363414697,180,180,contemporaneous
2021-01-25,BTC,180,spy_ret,SPY return,0.9670478284770024,0.2436914092682751,180,180,contemporaneous
2021-01-25,BTC,180,dxy_ret,DXY return,-0.5746140794613676,-0.04696240691722078,180,180,contemporaneous
2021-01-25,BTC,180,gold_ret,Gold return,0.5277374434340341,0.15384917436370146,180,180,contemporaneous
2021-01-25,BTC,180,vix_d1,VIX change,-0.007977823925051851,-0.32680271768547153,180,180,contemporaneous
2021-01-25,BTC,180,real_yield_d1,Real-yield change,-0.2017477182379018,-0.12178398319275255,180,180,contemporaneous
2021-01-25,BTC,180,nominal_10y_d1,10Y yield change,0.030003492006732656,0.02451911302136731,180,180,contemporaneous
2021-02-08,BTC,180,qqq_ret,QQQ return,0.6699021205986257,0.2430706886911522,180,180,contemporaneous
2021-02-08,BTC,180,spy_ret,SPY return,1.0012214911256732,0.25790369370989735,180,180,contemporaneous
2021-02-08,BTC,180,dxy_ret,DXY return,-1.0607814354006846,-0.08411980756979613,180,180,contemporaneous
2021-02-08,BTC,180,gold_ret,Gold return,0.46274620930072097,0.11866955166393203,180,180,contemporaneous
2021-02-08,BTC,180,vix_d1,VIX change,-0.0072626146784333665,-0.39187317229315594,180,180,contemporaneous
2021-02-08,BTC,180,real_yield_d1,Real-yield change,-0.18927457433710607,-0.10956308365975859,180,180,contemporaneous
2021-02-08,BTC,180,nominal_10y_d1,10Y yield change,0.0933691096305905,0.07488747150149463,180,180,contemporaneous
2021-02-22,BTC,180,qqq_ret,QQQ return,0.719176046558998,0.2367896655201412,180,180,contemporaneous
2021-02-22,BTC,180,spy_ret,SPY return,1.0843349761884606,0.25550222311696175,180,180,contemporaneous
2021-02-22,BTC,180,dxy_ret,DXY return,-0.6390753245764687,-0.04599944797929894,180,180,contemporaneous
2021-02-22,BTC,180,gold_ret,Gold return,0.464720652613786,0.10304037219728493,180,180,contemporaneous
2021-02-22,BTC,180,vix_d1,VIX change,-0.007176839300595636,-0.3572210698578203,180,180,contemporaneous
2021-02-22,BTC,180,real_yield_d1,Real-yield change,-0.10941773228624725,-0.061710301310694556,180,180,contemporaneous
2021-02-22,BTC,180,nominal_10y_d1,10Y yield change,0.125133092611895,0.09509223154481945,180,180,contemporaneous
2021-03-08,BTC,180,qqq_ret,QQQ return,0.754492781490607,0.2353941518094384,180,180,contemporaneous
2021-03-08,BTC,180,spy_ret,SPY return,1.1263451842938803,0.2553266906886166,180,180,contemporaneous
2021-03-08,BTC,180,dxy_ret,DXY return,-1.261908648774849,-0.08939948456074062,180,180,contemporaneous
2021-03-08,BTC,180,gold_ret,Gold return,0.3437493002354075,0.07602999726343751,180,180,contemporaneous
2021-03-08,BTC,180,vix_d1,VIX change,-0.006633943483970648,-0.3310058610105881,180,180,contemporaneous
2021-03-08,BTC,180,real_yield_d1,Real-yield change,-0.09990199048284762,-0.06973944925203313,180,180,contemporaneous
2021-03-08,BTC,180,nominal_10y_d1,10Y yield change,0.014770278191286245,0.0119603808977156,180,180,contemporaneous
2021-03-22,BTC,180,qqq_ret,QQQ return,0.7761624831785922,0.24323163525201652,180,180,contemporaneous
2021-03-22,BTC,180,spy_ret,SPY return,1.1718135331003425,0.2529896500854264,180,180,contemporaneous
2021-03-22,BTC,180,dxy_ret,DXY return,-1.2922135362679354,-0.0891605543609467,180,180,contemporaneous
2021-03-22,BTC,180,gold_ret,Gold return,0.2945227030849075,0.06420561929088561,180,180,contemporaneous
2021-03-22,BTC,180,vix_d1,VIX change,-0.006668198387628893,-0.3245610050446426,180,180,contemporaneous
2021-03-22,BTC,180,real_yield_d1,Real-yield change,-0.10256449386192484,-0.0786494622928364,180,180,contemporaneous
2021-03-22,BTC,180,nominal_10y_d1,10Y yield change,-0.014595020445457775,-0.012129681005527703,180,180,contemporaneous
2021-04-05,BTC,180,qqq_ret,QQQ return,0.8177936250036097,0.2407051313978241,180,180,contemporaneous
2021-04-05,BTC,180,spy_ret,SPY return,1.2621387492167677,0.25507272542690573,180,180,contemporaneous
2021-04-05,BTC,180,dxy_ret,DXY return,-1.7695206481960042,-0.1213640550876856,180,180,contemporaneous
2021-04-05,BTC,180,gold_ret,Gold return,0.17776523659182428,0.03809473019240394,180,180,contemporaneous
2021-04-05,BTC,180,vix_d1,VIX change,-0.006257297826091949,-0.30145443468446803,180,180,contemporaneous
2021-04-05,BTC,180,real_yield_d1,Real-yield change,-0.04507135524155272,-0.03443314324544543,180,180,contemporaneous
2021-04-05,BTC,180,nominal_10y_d1,10Y yield change,0.026144964569507063,0.021793548905822992,180,180,contemporaneous
2021-04-19,BTC,180,qqq_ret,QQQ return,0.8821466905692901,0.24934188915841338,180,180,contemporaneous
2021-04-19,BTC,180,spy_ret,SPY return,1.341653107905415,0.2577261264060844,180,180,contemporaneous
2021-04-19,BTC,180,dxy_ret,DXY return,-1.330203570716595,-0.08853671465923489,180,180,contemporaneous
2021-04-19,BTC,180,gold_ret,Gold return,0.17274497721510085,0.03618766132062528,180,180,contemporaneous
2021-04-19,BTC,180,vix_d1,VIX change,-0.006264058954067781,-0.2928552099045455,180,180,contemporaneous
2021-04-19,BTC,180,real_yield_d1,Real-yield change,-0.05313958687566268,-0.0409422896577006,180,180,contemporaneous
2021-04-19,BTC,180,nominal_10y_d1,10Y yield change,0.009623746946544224,0.008037295496164982,180,180,contemporaneous
2021-05-03,BTC,180,qqq_ret,QQQ return,0.8904926537830395,0.23318199407327359,180,180,contemporaneous
2021-05-03,BTC,180,spy_ret,SPY return,1.4011123689222194,0.24090404783939112,180,180,contemporaneous
2021-05-03,BTC,180,dxy_ret,DXY return,-1.3014707618474766,-0.08431527174446743,180,180,contemporaneous
2021-05-03,BTC,180,gold_ret,Gold return,0.09144424968949043,0.01848672114874221,180,180,contemporaneous
2021-05-03,BTC,180,vix_d1,VIX change,-0.006354214453019436,-0.27366179603263524,180,180,contemporaneous
2021-05-03,BTC,180,real_yield_d1,Real-yield change,-0.06169714089837981,-0.04624057954644465,180,180,contemporaneous
2021-05-03,BTC,180,nominal_10y_d1,10Y yield change,-0.0010481754167646735,-0.0008459659771468564,180,180,contemporaneous
2021-05-17,BTC,180,qqq_ret,QQQ return,1.0963826975425615,0.2687082914264919,180,180,contemporaneous
2021-05-17,BTC,180,spy_ret,SPY return,1.710446055993179,0.2813591765642351,180,180,contemporaneous
2021-05-17,BTC,180,dxy_ret,DXY return,-0.8219913224297755,-0.051654175572179314,180,180,contemporaneous
2021-05-17,BTC,180,gold_ret,Gold return,0.024261223418690445,0.004397976137440619,180,180,contemporaneous
2021-05-17,BTC,180,vix_d1,VIX change,-0.007474386448456906,-0.319886126137207,180,180,contemporaneous
2021-05-17,BTC,180,real_yield_d1,Real-yield change,-0.08756702750999029,-0.06352019054414482,180,180,contemporaneous
2021-05-17,BTC,180,nominal_10y_d1,10Y yield change,0.00023861710381021864,0.00016837197966953495,180,180,contemporaneous
2021-05-31,BTC,180,qqq_ret,QQQ return,1.3324321753917967,0.30475096640933186,180,180,contemporaneous
2021-05-31,BTC,180,spy_ret,SPY return,2.1911705986433945,0.3291197097289188,180,180,contemporaneous
2021-05-31,BTC,180,dxy_ret,DXY return,-0.38635366929907256,-0.02288937831484814,180,180,contemporaneous
2021-05-31,BTC,180,gold_ret,Gold return,0.12539940612273592,0.020155260910266815,180,180,contemporaneous
2021-05-31,BTC,180,vix_d1,VIX change,-0.008210311495347471,-0.3286008390562839,180,180,contemporaneous
2021-05-31,BTC,180,real_yield_d1,Real-yield change,-0.10278174364494863,-0.07073799142892462,180,180,contemporaneous
2021-05-31,BTC,180,nominal_10y_d1,10Y yield change,-0.030204826953368142,-0.01977264043252844,180,180,contemporaneous
2021-06-14,BTC,180,qqq_ret,QQQ return,1.286456044890567,0.2818341959002123,180,180,contemporaneous
2021-06-14,BTC,180,spy_ret,SPY return,2.198820835212866,0.31387181215064974,180,180,contemporaneous
2021-06-14,BTC,180,dxy_ret,DXY return,-0.570198449361157,-0.033097046361372146,180,180,contemporaneous
2021-06-14,BTC,180,gold_ret,Gold return,-0.06540971545902749,-0.010052532642370389,180,180,contemporaneous
2021-06-14,BTC,180,vix_d1,VIX change,-0.007942403021113143,-0.30614206146290357,180,180,contemporaneous
2021-06-14,BTC,180,real_yield_d1,Real-yield change,-0.06021134637737867,-0.04117325167806016,180,180,contemporaneous
2021-06-14,BTC,180,nominal_10y_d1,10Y yield change,-0.01916278734338797,-0.012337484740965266,180,180,contemporaneous
2021-06-28,BTC,180,qqq_ret,QQQ return,1.2483793548460658,0.27043904944652886,180,180,contemporaneous
2021-06-28,BTC,180,spy_ret,SPY return,2.0249728380267764,0.2903362447257213,180,180,contemporaneous
2021-06-28,BTC,180,dxy_ret,DXY return,-0.6446109070239856,-0.0369716070601589,180,180,contemporaneous
2021-06-28,BTC,180,gold_ret,Gold return,-0.18417767831040294,-0.02942266005108668,180,180,contemporaneous
2021-06-28,BTC,180,vix_d1,VIX change,-0.007436107544978871,-0.28173427503962806,180,180,contemporaneous
2021-06-28,BTC,180,real_yield_d1,Real-yield change,-0.09104776745769294,-0.06483565297264049,180,180,contemporaneous
2021-06-28,BTC,180,nominal_10y_d1,10Y yield change,-0.04557431865381526,-0.0301022302509285,180,180,contemporaneous
2021-07-12,BTC,180,qqq_ret,QQQ return,1.1998828206611447,0.2616752482819256,180,180,contemporaneous
2021-07-12,BTC,180,spy_ret,SPY return,1.7936969654647748,0.26131782709150875,180,180,contemporaneous
2021-07-12,BTC,180,dxy_ret,DXY return,-0.31541819364882717,-0.018512854694901153,180,180,contemporaneous
2021-07-12,BTC,180,gold_ret,Gold return,0.0009146437203243153,0.00013816277703185097,180,180,contemporaneous
